188	MLN Melon	MLN	$76,766,357	$128.07	599,400 *	$1,195,310	-0.07%	-1.30%	-3.50%	
189	AMP Synereo	AMP	$76,170,672	$0.926016	82,256,324 *	$22,601,400	0.35%	-8.49%	34.77%	
190	OST Simple Token	OST	$76,047,495	$0.406021	187,299,413 *	$4,270,250	3.03%	0.50%	60.85%	
191	MER Mercury	MER	$74,856,200	$0.748562	100,000,000 *	$4,528,880	1.30%	9.66%	9.41%	
192	UTK UTRUST	UTK	$73,968,954	$0.426932	173,256,993 *	$5,258,580	3.27%	1.47%	?	
193	UKG Unikoin Gold	UKG	$73,764,983	$0.549707	134,189,637 *	$3,301,090	0.05%	-13.31%	77.48%	
194	PLR Pillar	PLR	$72,610,788	$0.319330	227,384,800 *	$143,881	-1.09%	-1.49%	2.22%	
195	FTC Feathercoin	FTC	$71,024,177	$0.379947	186,931,800	$988,932	-1.50%	-0.98%	-11.31%	
196	XSH SHIELD	XSH	$69,353,667	$0.145610	476,297,416	$1,357,960	0.55%	45.17%	37.01%	
197	DTR Dynamic Tradi...	DTR	$69,226,468	$0.071040	974,466,187 *	$408,322	-3.56%	2.42%	217.75%	
198	SIB SIBCoin	SIB	$68,062,139	$4.23	16,099,589	$428,103	0.26%	-3.55%	-16.16%	
199	VIB Viberate	VIB	$67,992,094	$0.418929	162,299,801 *	$8,549,520	1.62%	0.25%	-14.44%	
200	TRST WeTrust	TRST	$63,486,034	$0.688961	92,147,500 *	$1,768,120	-2.48%	-7.18%	21.31%	
201	BLK BlackCoin	BLK	$62,907,220	$0.821437	76,581,917 *	$2,208,310	-0.14%	-2.14%	15.41%	
202	BITCNY bitCNY	BITCNY	$62,232,475	$0.140538	442,816,000 *	$27,881,600	1.06%	-0.84%	-1.82%	
203	XEL Elastic	XEL	$61,931,554	$0.700935	88,355,631 *	$1,472,480	10.28%	5.46%	-2.48%	
204	COB Cobinhood	COB	$61,096,141	$0.178023	343,192,401 *	$75,165	6.01%	2.40%	-19.19%	
205	ION ION	ION	$60,896,239	$3.25	18,715,019 *	$629,206	-0.19%	-7.18%	6.21%	
206	YOYOW YOYOW	YOYOW	$60,870,170	$0.287889	211,436,247 *	$4,734,410	-1.90%	-1.38%	-7.74%	
207	MTH Monetha	MTH	$60,421,552	$0.278590	216,883,420 *	$4,324,800	-0.11%	-6.67%	34.21%	
208	PEPECASH Pepe Cash	PEPECASH	$60,169,989	$0.085726	701,884,009 *	$371,538	1.93%	-3.50%	-1.51%	
209	LKK Lykke	LKK	$59,659,165	$0.225050	265,092,936 *	$177,910	1.65%	-1.50%	-1.43%	
210	FAIR FairCoin	FAIR	$56,644,515	$1.06	53,193,831 *	$158,838	-0.51%	-0.65%	-3.66%	
211	SPANK SpankChain	SPANK	$55,972,794	$0.186549	300,043,386 *	$292,861	6.02%	8.78%	32.95%	
212	NMC Namecoin	NMC	$55,724,076	$3.78	14,736,400	$273,839	-1.57%	-6.25%	-6.45%	
213	PRG Paragon	PRG	$55,203,745	$0.850117	64,936,644 *	$169,284	0.68%	-0.50%	34.63%	
214	MNX MinexCoin	MNX	$55,172,700	$18.39	3,000,000	$70,973	1.93%	-5.24%	-9.86%	
215	OMNI Omni	OMNI	$54,648,773	$97.52	560,374 *	$1,205,520	1.20%	-2.74%	24.80%	
216	GRC GridCoin	GRC	$53,363,169	$0.136719	390,312,753	$1,293,540	-2.13%	-3.27%	17.16%	
217	LUN Lunyr	LUN	$53,231,375	$23.17	2,297,853 *	$3,240,250	-0.09%	-1.82%	66.69%	
218	NMR Numeraire	NMR	$52,593,595	$40.56	1,296,613 *	$2,575,980	6.93%	24.39%	13.64%	
219	XWC WhiteCoin	XWC	$52,409,338	$0.210814	248,604,635 *	$1,922,520	-0.73%	1.03%	-15.36%	
220	IOC I/O Coin	IOC	$52,099,100	$3.17	16,445,734 *	$165,249	4.81%	-2.00%	-8.69%	
221	NULS Nuls	NULS	$50,437,567	$2.14	23,564,882 *	$5,682,880	3.44%	-4.83%	20.33%	
222	LA LAToken	LA	$49,602,927	$0.637247	77,839,404 *	$3,069,490	4.58%	8.86%	105.17%	
223	BTX Bitcore	BTX	$49,579,981	$22.73	2,181,641	$4,446,860	-0.56%	-19.76%	38.06%	
224	OTN Open Trading ...	OTN	$48,445,457	$9.21	5,260,013 *	$75,017	-1.29%	-9.01%	25.92%	
225	NEOS NeosCoin	NEOS	$47,903,620	$13.17	3,637,412	$1,792,620	-3.68%	-17.67%	47.56%	
226	DMD Diamond	DMD	$47,394,629	$18.34	2,583,518	$210,694	-0.97%	-5.36%	6.76%	
227	DLT Agrello	DLT	$46,775,172	$0.544031	85,978,873 *	$2,603,400	-0.09%	10.78%	19.71%	
228	CRW Crown	CRW	$46,556,365	$2.80	16,601,008	$211,256	2.63%	-3.53%	-9.65%	
229	TAAS TaaS	TAAS	$46,498,106	$5.71	8,146,001 *	$791,524	0.19%	-3.25%	-1.19%	
230	MDA Moeda Loyalty...	MDA	$46,444,697	$2.37	19,628,888 *	$2,967,840	0.28%	7.63%	4.39%	
231	TIX Blocktix	TIX	$45,376,400	$1.13	40,000,000 *	$1,263,330	0.05%	-0.94%	-0.36%	
232	OK OKCash	OK	$44,820,300	$0.609369	73,551,985 *	$7,166,630	-0.14%	9.05%	-7.78%	
233	MUE MonetaryUnit	MUE	$44,671,089	$0.368026	121,380,253	$1,828,470	0.25%	0.23%	-4.92%	
234	EXP Expanse	EXP	$44,111,447	$5.58	7,906,397	$1,871,960	0.30%	2.42%	2.79%	
